Сочетание клавиш                                                                          Контекст
															                                    
F1 – Показать палитру команд                                                              Основные
CTRL + SHIFT + P – Показать палитру команд                                                Основные
CTRL + P – Быстрое открытие, перейти к файлу...                                           Основные
CTRL + SHIFT + N – Новое окно / экземпляр                                                 Основные
CTRL + SHIFT + W – Закрыть окно / экземпляр                                               Основные
CTRL + , – Параметры (Пользовательские настройки)                                         Основные
CTRL + K + CTRL + S – Горячие клавиши (управление)                                        Основные
CTRL + X – Вырезать строку (пустое выделение)                                             Редактирование
CTRL + C – Копировать строку (пустое выделение)                                           Редактирование
ALT + ↑ – Переместить строку вверх                                                        Редактирование
ALT + ↓ – Переместить строку вниз                                                         Редактирование
ALT + SHIFT + ↑ – Копировать строку вверх                                                 Редактирование
ALT + SHIFT + ↓ – Копировать строку вниз                                                  Редактирование
CTRL + ALT + K – Удалить строку                                                           Редактирование
CTRL + ENTER – Добавить новую строку ниже                                                 Редактирование
CTRL + SHIFT + ENTER – Добавить новую строку выше                                         Редактирование
CTRL + SHIFT + \ – Перейти к соответствующей скобке                                       Редактирование
CTRL + [ – Уменьшить отступ                                                               Редактирование
CTRL + ] – Увеличить отступ                                                               Редактирование
HOME – Перейти в начало строки                                                            Редактирование
END – Перейти в конец строки                                                              Редактирование
CTRL + HOME – Перейти к началу файла                                                      Редактирование
CTRL + END – Перейти к концу файла                                                        Редактирование
CTRL + ↑ – Прокрутка строки вверх                                                         Редактирование
CTRL + ↓ – Прокрутка строки вниз                                                          Редактирование
ALT + PAGE UP – Прокрутка страницы вверх                                                  Редактирование
ALT + PAGE DOWN – Прокрутка страницы вниз                                                 Редактирование
CTRL + SHIFT[ – Свернуть фрагмент кода                                                    Редактирование
CTRL + SHIFT] – Развернуть фрагмент кода                                                  Редактирование
CTRL + K + CTRL + [ – Свернуть рекурсивно                                                 Редактирование
CTRL + K + CTRL + ] – Развернуть рекурсивно                                               Редактирование
CTRL + K + CTRL + 0 – Свернуть все                                                        Редактирование
CTRL + K + CTRL + J – Развернуть все                                                      Редактирование
CTRL + K + CTRL + C – Установить строчный комментарий                                     Редактирование
CTRL + K + CTRL + U – Снять строчный комментарий                                          Редактирование
CTRL + / – Установить/снять строчный комментарий                                          Редактирование
ALT + SHIFT + A – Установить/снять блочный комментарий                                    Редактирование
ALT + Z – Включить/выключить перенос строк                                                Редактирование
CTRL + T – Показать все символы	                                                          Навигация
CTRL + G – Перейти к строке...                                                            Навигация
CTRL + P – Перейти к файлу...                                                             Навигация
CTRL + SHIFT + O – Перейти к символу...                                                   Навигация
CTRL + SHIFT + M – Показать панель проблем                                                Навигация
F8 – Перейти к следующей ошибке или предупреждению                                        Навигация
