Сочетание клавиш                                                        Контекст

ALT + → – Перейти на следующую страницу	                                Навигация
ALT + ← – Перейти на предыдущую страницу                                Навигация
ALT + ENTER – Открыть набранный адрес в новой вкладке                   Навигация
ALT + HOME – Перейти на домашнюю страницу                               Навигация
F5 – Обновить                                                           Навигация
CTRL + R – Обновить                                                     Навигация
CTRL + F5 – Обновить полностью                                          Навигация
CTRL + SHIFT + R – Обновить полностью                                   Навигация
F6 – Переключение между элементами браузера                             Навигация
HOME – Перейти в начало страницы                                        Навигация
END – Перейти в конец страницы                                          Навигация
PAGE DOWN – Перейти вниз, по странице, на высоту экрана                 Навигация
PAGE UP – Перейти вверх, по странице, на высоту экрана                  Навигация
ALT + F4 – Закрыть окно                                                 Окна
CTRL + N – Новое окно                                                   Окна
CTRL + SHIFT + N – Открыть приватное окно (инкогнито)                   Окна
CTRL + SHIFT + W – Закрыть окно                                         Окна
CTRL + 1..8 – Выбрать вкладку по её порядковому номеру (от 1 до 8)	    Вкладки
CTRL + 9 – Выбрать последнюю вкладку                                    Вкладки
CTRL + F4 – Закрыть активную вкладку                                    Вкладки
CTRL + PAGE DOWN – Перейти к следующей вкладке                          Вкладки
CTRL + PAGE UP – Перейти к предыдущей вкладке                           Вкладки
CTRL + SHIFT + T – Восстановить закрытую вкладку                        Вкладки
CTRL + SHIFT + TAB – Перейти к предыдущей вкладке                       Вкладки
CTRL + T – Открыть новую вкладку                                        Вкладки
CTRL + TAB – Перейти к следующей вкладке                                Вкладки
CTRL + W – Закрыть активную вкладку                                     Вкладки
CTRL + D – Добавить страницу в закладки                                 Закладки
CTRL + SHIFT + B – Показать / скрыть панель закладок                    Закладки
CTRL + SHIFT + O – Открыть диспетчер закладок                           Закладки
CTRL + F – Поиск                                                        Поиск
CTRL + K – Переместить курсор в панель поиска                           Поиск
F3 – Продолжить поиск вперёд / назад                                    Поиск
CTRL + H – Открыть историю                                              История
CTRL + SHIFT + DELETE – Удалить недавнюю историю                        История
CTRL + J – Загрузки                                                     Инструменты
CTRL- – Уменьшить масштаб страницы                                      Вид страницы
CTRL + + – Увеличить масштаб страницы                                   Вид страницы
CTRL + 0 – Масштаб страницы 100%                                        Вид страницы
F11 – Полноэкранный режим вкл / выкл                                    Вид страницы
CTRL + ← – Переместить курсор к предыдущему / следующему слову          Текст
CTRL + BACKSPACE – Удалить слово стоящее перед / после курсором(а)      Текст
CTRL + L – Переместить курсор на адресную строку                        Текст
CTRL + SHIFT + V – Вставить как простой текст                           Текст
CTRL + Z – Отменить последнее действие                                  Текст
CTRL + Y – Повторить последнее отмененное действие                      Текст
DEL – Удалить                                                           Текст
CTRL + S – Сохранить страницу как                                       Файл
CTRL + O – Открыть файл                                                 Файл
CTRL + P – Печать                                                       Файл
CTRL + SHIFT + P – Печать без предварительного просмотра                Файл
→ – Следующая страница                                                  PDF документ
← – Предыдущая страница                                                 PDF документ
CTRL + U – Открыть исходный код страницы в новой вкладке                Разработка
CTRL + SHIFT + C – Открыть код страницы в инструментах разработчика	    Разработка
CTRL + SHIFT + I – Открыть / скрыть консоль инструментов разработчика	Разработка
CTRL + SHIFT + J – Открыть / скрыть консоль инструментов разработчика	Разработка
ALT + F – Главное меню                                                  Другое
SHIFT + ESC – Диспетчер задач браузера                                  Другое
