          Сочетание клавиш                                        Контекст

ALT + ← – Перейти на предыдущую страницу                          Навигация
BACKSPACE – Перейти на предыдущую страницу                        Навигация
ALT + → – Перейти на следующую страницу                           Навигация
SHIFT + BACKSPACE – Перейти на следующую страницу                 Навигация
ALT + HOME – Домашняя страница                                    Навигация
CTRL + O – Открыть файл                                           Навигация
F5 – Обновить                                                     Навигация
CTRL + R – Обновить                                               Навигация
CTRL + F5 – Обновить (не используя кэш)                           Навигация
CTRL + SHIFT + R – Обновить (не используя кэш)                    Навигация
TAB – Выделить следующую ссылку или поле ввода                    Текущая страница
SHIFT + TAB – Выделить на предыдущую ссылку или поля ввода        Текущая страница
PAGE DOWN – Перейти ниже на высоту экрана                         Текущая страница
SPACE – Перейти ниже на высоту экрана                             Текущая страница
PAGE UP – Перейти выше на высоту экрана                           Текущая страница
SHIFTSPACE – Перейти выше на высоту экрана                        Текущая страница
END – Перейти в конец страницы                                    Текущая страница
CTRL + ↓ – Перейти в конец страницы                               Текущая страница
HOME – Перейти в начало страницы                                  Текущая страница
CTRL + P – Печать                                                 Текущая страница
CTRL + S – Сохранить страницу как                                 Текущая страница
CTRL + + – Увеличить масштаб страницы                             Текущая страница
CTRL + - – Уменьшить масштаб страницы                             Текущая страница
CTRL + 0 – Вернуть исходный масштаб                               Текущая страница
CTRL + BACKSPACE – Удалить слово слева                            Редактирование
CTRL + DELETE – Удалить слово справа                              Редактирование
CTRL + ← – Переход на одно слово влево                            Редактирование
CTRL + → – Переход на одно слово вправо                           Редактирование
CTRL + SHIFT + V – Вставить (как простой текст)                   Редактирование
CTRL + Y – Повторить последнее отмененное действие                Редактирование
CTRL + Z – Отменить последнее действие                            Редактирование
CTRL + F – Найти                                                  Поиск
F3 – Найти ещё раз                                                Поиск
CTRL + G – Найти ещё раз                                          Поиск
SHIFT + F3 – Найти предыдущее совпадение                          Поиск
CTRL + SHIFT + G – Найти предыдущее совпадение                    Поиск
' – Быстрый поиск только в тексте ссылок по мере ввода            Поиск
/ – Быстрый поиск текста по мере ввода                            Поиск
CTRL + K – Фокус на Панели поиска                                 Поиск
CTRL + E – Фокус на Панели поиска                                 Поиск
CTRL + W – Закрыть вкладку                                        Окна и вкладки
CTRL + F4 – Закрыть вкладку                                       Окна и вкладки
CTRL + SHIFT + W – Закрыть окно                                   Окна и вкладки
ALT + F4 – Закрыть окно                                           Окна и вкладки
CTRL + TAB – Прокрутка недавно открытых вкладок                   Окна и вкладки
CTRL + SHIFT + Q – Выход                                          Окна и вкладки
CTRL + PAGE UP – Перейти на одну вкладку влево                    Окна и вкладки
CTRL + SHIFT + TAB – Перейти на одну вкладку влево                Окна и вкладки
CTRL + PAGE DOWN – Перейти на одну вкладку вправо                 Окна и вкладки
CTRL + TAB – Перейти на одну вкладку вправо                       Окна и вкладки
CTRL + SHIFT + PAGE UP – Переместить вкладку влево                Окна и вкладки
CTRL + SHIFT + PAGE DOWN – Переместить вкладку вправо             Окна и вкладки
CTRL + M – Включение / отключение звука                           Окна и вкладки
CTRL + T – Новая вкладка                                          Окна и вкладки
CTRL + N – Новое окно                                             Окна и вкладки
CTRL + SHIFT + P – Новое приватное окно                           Окна и вкладки
ALT + ENTER – Открыть Адрес или Поиск в новой активной вкладке    Окна и вкладки
SHIFT + ENTER – Открыть Адрес или Поиск в новом окне              Окна и вкладки
CTRL + ENTER – Открыть поиск в новой фоновой вкладке              Окна и вкладки
CTRL + SHIFT + ENTER – Открыть поиск в новой активной вкладке     Окна и вкладки
CTRL + SHIFT + T – Восстановить закрытую вкладку                  Окна и вкладки
CTRL + SHIFT + N – Восстановить закрытое окно                     Окна и вкладки
CTRL1..8 – Выбрать вкладку по её порядковому номеру               Окна и вкладки
CTRL + 9 – Выбрать последнюю вкладку                              Окна и вкладки
CTRL + H – Боковая панель журнала                                 История
CTRL + SHIFT + H – Окно Библиотеки (История)                      История
CTRL + SHIFT + DELETE – Удалить недавнюю историю                  История
CTRL + SHIFT + D – Добавить все вкладки в закладки                Закладки
CTRL + D – Добавить страницу в закладки                           Закладки
CTRL + B – Боковая панель закладок                                Закладки
CTRL + I – Боковая панель закладок                                Закладки
CTRL + SHIFT + B – Окно Библиотека (Закладки)                     Закладки
CTRL + J – Загрузки                                               Инструменты
CTRL + SHIFT + A – Дополнения                                     Инструменты
F12 – Открыть / скрыть инструменты разработчика                   Инструменты
CTRL + SHIFT + I – Инструменты разработчика                       Инструменты
CTRL + SHIFT + K – Веб-консоль                                    Инструменты
CTRL + SHIFT + C – Инспектор                                      Инструменты
CTRL + SHIFT + S – Отладчик                                       Инструменты
SHIFT + F7 – Редактор стилей                                      Инструменты
SHIFT + F5 – Профайлер                                            Инструменты
CTRL + SHIFT + E – Сеть                                           Инструменты
SHIFT + F2 – Панель разработки                                    Инструменты
CTRL + SHIFT + M – Режим адаптивного дизайна                      Инструменты
SHIFT + F4 – Простой редактор JavaScript                          Инструменты
CTRL + U – Исходный код страницы                                  Инструменты
CTRL + SHIFT + J – Консоль браузера                               Инструменты
→ – Следующая страница                                            Просмотр PDF
← – Предыдущая страница                                           Просмотр PDF
R – Повернуть документ по часовой стрелке                         Просмотр PDF
SHIFT + R – Повернуть документ против часовой стрелки             Просмотр PDF
CTRL + ALT + P – Переключение в режим Презентации                 Просмотр PDF
S – Выбрать инструмент выделения текста                           Просмотр PDF
H – Выбрать Инструмент Рука                                       Просмотр PDF
CTRL + ALT + G – Перевести фокус на поле ввода номера страницы    Просмотр PDF
F11 – Включить / выключить полноэкранный режим                    Другое
F9 – Включить / выключить Режим чтения                            Другое
