Сочетание клавиш                                                              Контекст

CTRL + SHIFT + L – Установить автотон                                         Общие
CTRL + ] – Передвинуть слой вверх                                             Общие
CTRL + SHIFT + ] – Сделать слой первым                                        Общие
CTRL + W – Закрыть вкладку                                                    Общие
CTRL + F4 – Закрыть вкладку                                                   Общие
CTRL + ALT + W – Закрыть все вкладки                                          Общие
CTRL + B – Установить баланс цвета                                            Общие
CTRL + ALT + B – Установить баланс цвета, прежняя установка                   Общие
CTRL + SHIFT + C – Скопировать совмещенные данные                             Общие
CTRL + M – Кривые                                                             Общие
CTRL + ALT + M – Кривые, последние установки                                  Общие
CTRL + SHIFT + U – Обесцветить                                                Общие
CTRL + Q – Выйти из Photoshop                                                 Общие
SHIFT + F6 – Растушевать выделенную область                                   Общие
SHIFT + BACKSPACE – Выполнить заливку                                         Общие
SHIFT + F5 – Выполнить заливку                                                Общие
CTRL + ALT + BACKSPACE – Выполнить заливку, c предыдущими настройками         Общие
CTRL + F – Повторно применить последний фильтр                                Общие
CTRLA + LTF – Повторить фильтрацию с новыми установками                       Общие
CTRL + T – Свободное трансформирование                                        Общие
CTRL + SHIFT + Y – Предупреждение о выходе за пределы цв. Охвата              Общие
CTRL + " – Отобразить или спрятать сетку                                      Общие
CTRL + G – Сгруппировать слои                                                 Общие
CTRL + H – Спрятать края выделения                                            Общие
CTRL + U – Изметить цветовой тон / насыщенность                               Общие
CTRL + ALT + U – Изметить цветовой тон / насыщенность, прежние установки      Общие
CTRL + SHIFT + I – Инвертирование выделения                                   Общие
SHIFT + F7 – Инвертирование выделения                                         Общие
CTRL + SHIFT + D – Выделить снова                                             Общие
CTRL + I – Инвертировать                                                      Общие
CTRL + J – Скопировать на новый слой выделенную область                       Общие
CTRL + SHIFT + J – Переместить на новый слой выделенную область               Общие
CTRL + L – Уровни                                                             Общие
CTRL + ALT + L – Уровни, прежние установки                                    Общие
CTRL + SHIFT + E – Объединить видимые слои                                    Общие
CTRL + E – Слияние текущего слоя с нижележащим                                Общие
CTRL + N – Новый файл                                                         Общие
CTRL + ALT + N – Новый файл, установки по умолчанию                           Общие
CTRL + SHIFT + N – Новый слой                                                 Общие
CTRL + O – Открыть файл                                                       Общие
CTRL + ALT + SHIFT + O – Открыть как                                          Общие
CTRL + K – Настройки                                                          Общие
CTRL + Y – Предварительный просмотр CMYK                                      Общие
F12 – Востановить                                                             Общие
CTRL + R – Отобразить или спрятать линейки                                    Общие
CTRL + S – Сохранить файл                                                     Общие
CTRL + SHIFT + S – Сохранить файл как                                         Общие
CTRL + ALT + S – Сохранить копию                                              Общие
CTRL + D – Отменить выделение                                                 Общие
CTRL + [ – Переместить слой назад                                             Общие
CTRL + SHIFT + [ – Сделать слой последним                                     Общие
CTRL + ALT + Z – Шаг назад по истории                                         Общие
CTRL + SHIFT + Z – Шаг вперед по истории                                      Общие
CTRL + SHIFT + ; – Привязка к направляющим                                    Общие
CTRL + SHIFT + G – Разгруппировать слои                                       Общие
CTRL + ALT + С – Изменить размер холста                                       Общие
CTRL + ALT + I – Изменить размер изображение                                  Общие
CTRL + + – Увеличить масштаб                                                  Общие
CTRL + - – Уменьшить масштаб                                                  Общие
CTRL + ALT + 0 – Масштаб 100%                                                 Общие
CTRL + 0 – Масштаб по размерам экрана                                         Общие
