        Сочетание клавиш                                           Контекст

⌘ + N – Октрыть новое окно                                         Общие
⌘ + M – Скрыть активное окно                                       Общие
⌘ + H – Скрыть все окна                                            Общие
⌘ + SHIFT + W – Закрыть активное окно со всеми вкладками           Общие
⌘ + Q – Выход из Safari, закрыв все окна и вкладки                 Общие
⌘ + SHIFT + L – Показать / скрыть боковую панель                   Общие
⌘ + ALT + L – Показать / скрыть список загрузок                    Общие
⌘ + SHIFT + B – Показать / скрыть панель закладок                  Общие
⌘ + / – Показать / скрыть строку состояния                         Общие
⌘ + , – Открыть настройки                                          Общие
⌘ + R – Обновить страницу                                          Общие
⌘ + SHIFTR – Обновить страницу без кеша                            Общие

⌘ + L – Поместить курсор в адресную строку                         Навигация
⌘ + SHIFTH – Перейти на домашнюю страницу                          Навигация
⌘ + [ – Вернуться к предыдущей странице                            Навигация
⌘ + ] – Перейти к следующей странице                               Навигация
⌘ + ← – Открыть предыдущую страницу в новой вкладке                Навигация
⌘ + → – Открыть следующую страницу в новой вкладке                 Навигация

⌘ + T – Открыть новую вкладку                                      Вкладки
⌘ + SHIFT + → – Перейти на следующую вкладку                       Вкладки
⌘ + SHIFT + ← – Перейти на предыдущую вкладку                      Вкладки
⌘ + 1..9 – Перейти на вкладку по её порядковому номеру             Вкладки
⌘ + W – Закрыть активную вкладку                                   Вкладки
⌘ + Z – Открыть последнюю закрытую вкладку                         Вкладки
⌘ + OPTION + W – Закрыть все вкладки, кроме текущей                Вкладки
⌘ + ` – Перейти на следующую вкладку                               Вкладки
⌘ + \ – Показать все открытые вкладки                              Вкладки

⌘ + D – Добавить страницу в закладки                               Закладки
⌘ + SHIFT + N – Создать новую папку в закладках                    Закладки
⌘ + OPTION + 1..9 – Перейти на закладку по её порядковому номеру   Закладки

⌘ + F – Поиск на странице                                          Поиск
⌘ + G – Навигация по найденным результатам                         Поиск

⌘ + + – Увеличить масштаб страницы                                 Вид страницы
⌘ + – – Меньшить масштаб страницы                                  Вид страницы
⌘ + 0 – Масштаб страницы 100%                                      Вид страницы

⌘ + SHIFTA – Выполнить автозаполнение формы                        Текст
⌘ + CTRLSPACE – Вставка специальных символов и эмодзи              Текст

⌘ + O – Открыть файл                                               Файл
⌘ + P – Отправить страницу на печать                               Файл
⌘ + S – Сохранить страницу как                                     Файл

⌘ + OPTIONU – Показать исходный код странцы                        Другое
⌘ + I – Отправить содержимое страницы по почте                     Другое
⌘ + SHIFTI – Отправить ссылку на страницу по почте                 Другое
