Сочетание клавиш                                                               Контекст

ALT + 1 – Перейти к последним чатам                                            Навигация
ALT + 2 – Открыть панель контактов                                             Навигация
CTRL + F – Поиск контактов, сообщений или групповых чатов                      Навигация
CTRL + I – Открыть панель уведомлений                                          Навигация
CTRL + SHIFT + TAB – Предыдущая беседа                                         Навигация
CTRL + TAB – Следующая беседа                                                  Навигация
CTRL + Y – Перейти к последним чатам                                           Навигация

↑ – Редактировать последнее отправленное сообщение                             Сообщения
ALT + SHIFT + E – Переместить курсор в поле ввода сообщения                    Сообщения
CTRL + G – Создать новый групповой чат                                         Сообщения
CTRL + N – Начать новую беседу                                                 Сообщения
CTRL + SHIFT + A – Добавить контакты в групповой чат                           Сообщения
CTRL + SHIFT + E – Архивация выбранной беседы                                  Сообщения
CTRL + SHIFT + F – Отправить файл в текущем чате                               Сообщения
CTRL + SHIFT + L – Выбор нескольких сообщений                                  Сообщения
CTRL + SHIFT + U – Отметить как непрочитанное                                  Сообщения

CTRL + ALT + M – Объявлять статус микрофона в ходе звонка                      Звонки
CTRL + ALT + SHIFT + K – Объявлять собственный статус видео в ходе звонка      Звонки
CTRL + D – Открыть панель набора номера                                        Звонки
CTRL + E – Завершить или отклонить вызов                                       Звонки
CTRL + M – Переключение микрофона (отключение или включение)                   Звонки
CTRL + S – Сделать снимок во время видеозвонка                                 Звонки
CTRL + SHIFT + J – Изменение размера окна предварительного просмотра камеры    Звонки
CTRL + SHIFT + K – Начать видеозвонок                                          Звонки
CTRL + SHIFT + K – Переключение камеры (отключение или включение)              Звонки
CTRL + SHIFT + P – Начать аудиозвонок                                          Звонки
CTRL + SHIFT + P – Ответ на входящий звонок                                    Звонки

CTRL + - – Уменьшить масштаб интерфейса                                        Настройки
CTRL + , – Открыть настройки приложения                                        Настройки
CTRL + 0 – Сбросить масштаб интерфейса                                         Настройки
CTRL + H – Открыть справку Skype в браузере                                    Настройки
CTRL + O – Отправить отзыв для разработчиков Skype                             Настройки
CTRL + P – Показать профиль пользователя или группового чата                   Настройки
CTRL + SHIFT + = – Увеличить масштаб интерфейса                                Настройки
CTRL + SHIFT + G – Открыть галерею                                             Настройки
CTRL + SHIFT + S – Выполнить поиск всех сообщений, контактов и ботов           Настройки
CTRL + SHIFT + T – Переключение между светлой и темной темой оформления        Настройки
CTRL + T – Выбрать тему оформления                                             Настройки
F11 – Включить или отключить полноэкранный режим                               Настройки
