Сочетание клавиш                                                               Контекст

CTRL + L – Выделить строку                                                     Текст
CTRL + SHIFT + M – Выделить текст между двумя парными скобками                 Текст
CTRL + SHIFT + A – Выделить текст между двумя парными тегами                   Текст
CTRL + SHIFT + J – Выделить текст с соответствующим отступом                   Текст
CTRL + SHIFT + SPACE – Выделить по контексту                                   Текст
CTRL + SHIFT + ← – Выделить слово слева                                        Текст
CTRL + SHIFT + → – Выделить слово справа                                       Текст
CTRL + A – Выделить весь текст                                                 Текст
CTRL + SHIFT + ↑ – Переместить выделенные строки вверх                         Текст
CTRL + SHIFT + ↓ – Переместить выделенные строки вниз                          Текст
СTRL + SHIFT + D – Дублировать строку                                          Текст
CTRL + SHIFT + K – Удалить строку                                              Текст
CTRL + J – Объединить выделенные строки                                        Текст
ALT + Q – Объединить строки в параграфе                                        Текст
CTRL + ENTER – Добавить пустую строку под курсором                             Текст
CTRL + SHIFT + ENTER – Добавить пустую строку над курсором                     Текст
CTRL + / – Добавить или убрать однострочный комментарий                        Текст
CTRL + SHIFT + / – Добавить или убрать блочный комментарий                     Текст
F9 – Отсортировать строки в алфавитном порядке                                 Текст
CTRL + F9 – Отсортировать строки в алфавитном порядке с учетом регистра        Текст
CTRL + K – Трансформировать выделенный текст в нижний регистр                  Текст
CTRL + L – Трансформировать выделенный текст в нижний регистр                  Текст
СTRL + K – Трансформировать выделенный текст в верхний регистр                 Текст
CTRL + U – Трансформировать выделенный текст в верхний регистр                 Текст
ALT + . – Закрыть незакрытый тег                                               Текст
ALT + SHIFT + W – Обернуть тегом выделенный текст                              Текст
CTRL + SHIFT + V – Вставить с отступом                                         Текст
CTRL + Z – Отмена последнего действия                                          Текст
CTRL + SHIFT + Z – Повторить последнее отмененное действие                     Текст
CTRL + ALT + P – Открыть окно выбора проектов                                  Навигация
CTRL + F2 – Установить или снять закладку                                      Навигация
F2 – Перейти к следующей закладке                                              Навигация
SHIFT + F2 – Перейти к предыдущей закладке                                     Навигация
ALT + F2 – Выделить все закладки                                               Навигация
CTRL + SHIFT + F2 – Удалить все закладки                                       Навигация
CTRL + ↑ – Прокрутка окна редактирования вверх                                 Навигация
CTRL + ↓ – Прокрутка окна редактирования вниз                                  Навигация
CTRL + M – Переместить курсор к парной скобке                                  Навигация
CTRL + F – Открыть панель поиска                                               Поиск
CTRL + H – Открыть панель поиска и замены                                      Поиск
F6 – Включить или выключить проверку правописания                              Поиск
ALT + C – Включить / выключить чувствительность к регистру на панели поиска    Поиск
ALT + ENTER – Найти все                                                        Поиск
SHIFT + ENTER – Поиск в обратном направлении                                   Поиск
CTRL + ALT + ENTER – «Заменить все» на панели поиска и замены                  Поиск
CTRL + SHIFT + H – Заменить текст далее                                        Поиск
CTRL + F3 – Быстрый поиск                                                      Поиск
CTRL + SHIFT + F3 – Быстрый поиск в обратном направлении                       Поиск
CTRL + D – Найти и выделить текст                                              Поиск
CTRL + K – Пропустить выделенный текст                                         Поиск
CTRL + D – Пропустить выделенный текст                                         Поиск
ALT + F3 – Найти все                                                           Поиск
CTRL + F6 – Перейти к следующей ошибке                                         Поиск
CTRL + SHIFT + F6 – Перейти к предыдущей ошибке                                Поиск
CTRL + O – Вызвать окно «Открыть файл»                                         Файл
CTRL + SHIFT + T – Открыть последний закрытый файл                             Файл
CTRL + S – Сохранить текущий файл                                              Файл
CTRL + SHIFT + S – Вызвать окно «Сохранить как»                                Файл
СTRL + SHIFT + [ – Свернуть код                                                Фолдинг
СTRL + SHIFT + ] – Развернуть код                                              Фолдинг
CTRL + 1..9 – Свернуть код соответствующего уровня                             Фолдинг
CTRL + 0 – Развернуть все                                                      Фолдинг
CTRL + T – Свернуть атрибуты тегов                                             Фолдинг
СTRL + SHIFT + P – Открыть окно списка функций                                 Другое
CTRL + + – Увеличить размер текста                                             Другое
CTRL + - – Уменьшить размер текста                                             Другое
CTRL + Q – Запустить или остановить запись макроса                             Другое
CTRL + SHIFT + Q – Воспроизвести макрос                                        Другое
F7 – Выполнить                                                                 Другое
CTRL + BREAK – Отменить выполнение                                             Другое
