Сочетание клавиш                                                        Контекст

CTRL + M – Cвернуть Telegram                                            Общие
CTRL + W – Свернуть Telegram в панель задач                             Общие
CTRL + L – Заблокировать Telegram (если установлен пароль блокировки)   Общие
CTRL + Q – Полностью закрыть приложение                                 Общие

ALT + ↑ – Перейти к предыдущему чату                                    Навигация
ALT + ↓ – Перейти к следующему чату                                     Навигация
CTRL + F – Поиск по выбранному чату                                     Навигация
CTRL + 0 – Перейти в «Избранное» (Cохранённые сообщения)                Навигация
CTRL + 1..5 – Переключение между закреплёнными чатами                   Навигация

CTRL + O – Открыть окно выбора файлов для отправки в Telegram           Сообщения
CTRL + ↑ – Выбрать сообщения для быстрого ответа                        Сообщения
↑ – Редактировать последнее сообщение                                   Сообщения
DELETE – Удалить выбранные сообщения                                    Сообщения

CTRL + B – Выделить жирным                                              Форматирование
CTRL + I – Выделить курсивом                                            Форматирование
CTRL + U – Подчеркнуть                                                  Форматирование
CTRL + SHIFT + X – Зачеркнуть                                           Форматирование
CTRL + SHIFT + M – Моноширный шрифт (код)                               Форматирование
CTRL + K – Создание гиперссылки                                         Форматирование
CTRL + SHIFT + N – Отменить форматирование                              Форматирование
