Сочетание клавиш                                                                         Контекст

F2 – Обновить окно                                                                       Общие
F3 – Смотреть файл                                                                       Общие
F4 – Редактировать файл                                                                  Общие
F5 – Копировать файл                                                                     Общие
F6 – Переименовать / переместить файл                                                    Общие
F7 – Создать каталог                                                                     Общие
F8 – Удалить файл                                                                        Общие
F9 – Активизировать панель меню выше активного окна                                      Общие
F10 – Активизировать / выключить меню                                                    Общие
ALT + F1 – Выбрать левый диск                                                            Общие
ALT + F2 – Выбрать правый диск                                                           Общие
ALT + F3 – Использовать внешний просмотрщик                                              Общие
ALT + F5 – Упаковать выбранные файлы                                                     Общие
ALT + F6 – Извлечь все файлы из архива под курсором                                      Общие
ALT + F7 – Поиск                                                                         Общие
ALT + F8 – Открыть историю команд                                                        Общие
ALT + F9 – Извлечь все файлы из архива под курсором                                      Общие
ALT + SHIFT + F9 – Проверка целостности архива                                           Общие
ALT + F10 – Окно дерева каталогов                                                        Общие
ALT + ← – Перейти к предыдущему каталогу, из посещенных ранее                            Общие
ALT + → – Перейти к следующему каталогу, из посещенных ранее                             Общие
ALT + ↓ – Открыть список посещённых каталогов                                            Общие
SHIFT + F2 – Сравнить список файлов                                                      Общие
SHIFT + F4 – Создать новый текстовый файл и загрузить в редактор                         Общие
SHIFT + F5 – Копировать файлы (с переименованием) в текущий каталог                      Общие
CTRL + SHIFT + F5 – Создать ярлык для файла в каталоге-приёмнике                         Общие
SHIFT + F6 – Переименовать файл в текущем каталоге                                       Общие
SHIFT + ESC – Свернуть Wincmd                                                            Общие
NUM + + – Выбрать файлы по маске                                                         Общие
NUM + - – Снять выбор с файлов по маске                                                  Общие
NUM + * – Обратить выбор                                                                 Общие
CTRL + NUM + – Выбрать всё                                                               Общие
CTRL + NUM - – Отменить выбор                                                            Общие
ALT + NUM + – Выбрать все файлы с таким же расширением                                   Общие
BACKSPACE – Вернуться в родительский каталог                                             Общие
CTRL + \ – Вернуться в корневой каталог                                                  Общие
CTRL + ← – Открыть каталог в другой панели                                               Общие
CTRL + → – Открыть каталог в другой панели                                               Общие
CTRL + F1 – Краткий вид (только имена)                                                   Общие
CTRL + F2 – Подробный вид (все детали)                                                   Общие
CTRL + F3 – Сортировать по имени                                                         Общие
CTRL + F4 – Сортировать по расширению                                                    Общие
CTRL + F5 – Сортировать по времени                                                       Общие
CTRL + F6 – Сортировать по размеру                                                       Общие
CTRL + F7 – Без сортировки                                                               Общие
CTRL + F8 – Показать дерево каталогов                                                    Общие
CTRL + F10 – Показать все файлы                                                          Общие
CTRL + F11 – Показать только программы                                                   Общие
CTRL + F12 – Показать файлы по выбору                                                    Общие
TAB – Перейти на другую панель                                                           Общие
INSERT – Выбрать файл или каталог                                                        Общие
SPACE – Выбрать файл или каталог                                                         Общие
ALT + SHIFT + ENTER – Подсчет занимаемого объёма каталога под курсором                   Общие
CTRL + B – Показать все файлы в текущем каталоге и в подкаталогах одним списком          Общие
CTRL + D – Открыть список горячих каталогов                                              Общие
CTRL + F – Соединиться с FTP сервером                                                    Общие
CTRL + SHIFT + F – Отключиться от FTP сервера                                            Общие
CTRL + N – Новое FTP соединение                                                          Общие
CTRL + I – Перейти на другую панель                                                      Общие
CTRL + L – Подсчитать занимаемое место (для выбранных файлов)                            Общие
CTRL + M – Групповое переименование                                                      Общие
CTRL + P – Вставить путь в командную строку                                              Общие
CTRL + Q – Открыть окно панели быстрого просмотра                                        Общие
CTRL + T – Новая вкладка                                                                 Общие
CTRL + U – Поменять каталоги на панелях                                                  Общие
БУКВЫ – Быстрый поиск по имени в текущем каталоге                                        Общие

TAB – Возвращает курсор на исходную панель                                               Командная строка
CTRL + Y – Очистить командную строку                                                     Командная строка
CTRL + E – Вставить предыдущую команду в командную строку                                Командная строка
CTRL + K – Удалить команду                                                               Командная строка
CTRL + W – Удалить слово слева от курсора                                                Командная строка
CTRL + T – Удалить слово справа от курсора                                               Командная строка
