Сочетание клавиш                                                                                            Контекст

CTRL + X – Вырезать выбранный элемент                                                                       Общие
CTRL + C – Копировать выбранный элемент	                                                                Общие
CTRL + INSERT – Копировать выбранный элемент	                                                     Общие
CTRL + V – Вставить выбранный элемент	                                                                Общие
SHIFT + INSERT – Вставить выбранный элемент	                                                                Общие
CTRL + Z – Отменить действие                                                                                Общие
ALTTA + B – Переключение между открытыми приложениями	                                                     Общие
ALT + F4 – Закрытие активного элемента или выход из активного приложения                                   Общие
WIN + L – Блокировка компьютера	                                                                           Общие
WIN + D – Отображение и скрытие рабочего стола                                                          Общие
F2 – Переименование выбранного элемента	                                                                Общие
F6 – Переключение между элементами экрана в окне или на рабочем столе	                               Общие
F10 – Активация строки меню в активном приложении	                                                     Общие
ALT + ESC – Переключение по элементам в порядке, в котором они были открыты	                               Общие
ALT + ENTER – Отображение свойств выбранного элемента	                                                     Общие
ALT + SPACE – Открытие контекстного меню активного окна	                                          Общие
CTRL + A – Выбор всех элементов в документе или окне	                                                     Общие
DELETE – Удаление выбранного элемента и перемещение его в корзину	                                          Общие
CTRL + D – Удаление выбранного элемента и его перемещение в корзину	                               Общие
CTRL + Y – Повтор действия	                                                                           Общие
CTRL + → – Перемещение курсора в начало следующего слова	                                          Общие
CTRL + ← – Перемещение курсора в начало предыдущего слова	                                          Общие
CTRL + ↓ – Перемещение курсора в начало следующего абзаца	                                          Общие
CTRL + ↑ – Перемещение курсора в начало предыдущего абзаца	                                          Общие
CTRL + ALT + TAB – Переключение между открытыми приложениями	                                          Общие
CTRL + ESC – Открытие меню «Пуск»	                                                                Общие
CTRL + SHIFT + ESC – Открыть диспетчер задач	                                                     Общие
SHIFT + F10 – Открытие контекстного меню для выбранного элемента	                                          Общие
SHIFT + DELETE – Удаление без предварительного помещения в корзину	                               Общие
PRINT + SCREEN – Создание снимка всего экрана и его копирование в буфер обмена	                    Общие
WIN + I – Открытие параметров	                                                                           Общие
WIN – Открытие или закрытие меню «Пуск»	                                                                Общие
WINA – Открыть центр уведомлений	                                                                           Общие
WINB – Переводит фокус в область уведомлений	                                                     Общие
WIND – Отображение и скрытие рабочего стола	                                                                Общие
WIN + ALT + D – Отображение и скрытие даты и времени на рабочем столе	                               Общие
WIN + E – Открыть проводник	                                                                           Общие
WIN + I – Открыть меню «Параметры»	                                                                Общие
WIN + K – Вызов быстрого действия «Подключение»	                                                     Общие
WIN + L – Блокировка компьютера или смена учетной записи	                                          Общие
WIN + M – Свертывание всех окон	                                                                           Общие
WIN + P – Выбор режима отображения презентации	                                                     Общие
WIN + R – Открытие диалогового окна «Выполнить»	                                                     Общие
WIN + S – Открытие окна поиска	                                                                           Общие
WIN + T – Циклическое переключение между приложениями на панели задач	                               Общие
WIN + U – Открытие Центра специальных возможностей	                                                     Общие
WIN + X – Открытие меню быстрых ссылок	                                                                Общие
WIN + PAUSE – Открывает диалоговое окно свойств системы	                                          Общие
WIN + CTRL + F – Поиск компьютеров (при наличии сети)	                                                     Общие
WINSHIFTM – Восстановление свернутых окон на рабочем столе	                                          Общие
WIN + 1..9 – Запуск приложения, закрепленного на панели задач	                                          Общие
WINSHIFT + 1..9 – Запуск нового экземпляра приложения, с панели задач	                               Общие
WIN + CTRL + SHIFT + 1..9 – Запуск нового экземпляра приложения, с панели задач, от имени администратора    Общие
WIN + TAB – Открытие представления задач	                                                                Общие
WIN + SPACE – Переключение языка ввода и раскладки клавиатуры	                                          Общие
WIN + CTRL + ENTER – Включение экранного диктора	                                                     Общие
WIN+ – Запуск экранной лупы	                                                                           Общие
CTRL + E – Выбор поля поиска	                                                                           Проводник
CTRL + F – Выбор поля поиска	                                                                           Проводник
CTRL + N – Открытие нового окна	                                                                           Проводник
CTRL + W – Закрытие активного окна	                                                                Проводник
CTRL + SHIFT + E – Отображение всех папок, в которые вложена выбранная папка	                               Проводник
CTRL + SHIFT + N – Создать папку	                                                                           Проводник
NUM * – Отображение всех папок, вложенных в выбранную папку	                                          Проводник
NUM + – Отображение содержимого выбранной папки	                                                     Проводник
NUM - – Свертывание выбранной папки	                                                                Проводник
ALTP – Отображение панели просмотра	                                                                Проводник
ALTENTER – Открытие диалогового окна «Свойства» для выбранного элемента	                               Проводник
ALT + → – Просмотр следующей папки	                                                                Проводник
ALT + ↑ – Просмотр папки, в которую вложена данная папка	                                          Проводник
ALT + ← – Просмотр предыдущей папки	                                                                Проводник
BACKSPACE – Просмотр предыдущей папки	                                                                Проводник
F11 – Развертывание или свертывание активного окна	                                                     Проводник
